route_id,stop_id,direction_id,stop_sequence
"0200","4001","0","1"
"0200","4002","0","2"
"0200","4003","0","3"
"0200","4004","0","4"
"0200","4005","0","5"
"0200","4006","0","6"
"0200","4007","0","7"
"0200","3317","0","8"
"0200","2101","0","9"
"0200","2079","0","10"
"0200","2080","0","11"
"0200","2082","0","12"
"0200","2044","0","13"
"0200","2045","0","14"
"0200","1033","0","15"
"0200","1431","0","16"
"0200","1107","1","1"
"0200","1408","1","2"
"0200","1203","1","3"
"0200","2046","1","4"
"0200","2081","1","5"
"0200","2083","1","6"
"0200","2084","1","7"
"0200","3316","1","8"
"0200","3318","1","9"
"0200","4008","1","10"
"0200","4009","1","11"
"0200","4010","1","12"
"0200","4011","1","13"
"0200","4012","1","14"
"0200","4013","1","15"
"0200","4001","1","16"
