"0064","4001","0","1"
"0064","2079","0","10"
"0064","2080","0","11"
"0064","2082","0","12"
"0064","2044","0","13"
"0064","2045","0","14"
"0064","1177","0","15"
"0064","1178","0","16"
"0064","1432","0","17"
"0064","1513","0","18"
"0064","1514","0","19"
"0064","4002","0","2"
"0064","1163","0","20"
"0064","1166","0","21"
"0064","1167","0","22"
"0064","4003","0","3"
"0064","4004","0","4"
"0064","4018","0","5"
"0064","4006","0","6"
"0064","4007","0","7"
"0064","3317","0","8"
"0064","2101","0","9"
"0064","1167","1","1"
"0064","2047","1","10"
"0064","2081","1","11"
"0064","2083","1","12"
"0064","2084","1","13"
"0064","3316","1","14"
"0064","3318","1","15"
"0064","4008","1","16"
"0064","4009","1","17"
"0064","4010","1","18"
"0064","4011","1","19"
"0064","2052","1","2"
"0064","1169","1","2"
"0064","4012","1","20"
"0064","4013","1","21"
"0064","4001","1","22"
"0064","1172","1","3"
"0064","1515","1","4"
"0064","1516","1","5"
"0064","1201","1","6"
"0064","1202","1","7"
"0064","1203","1","8"
"0064","2046","1","9"
"0164","4001","0","1"
"0164","4002","0","2"
"0164","4003","0","3"
"0164","4004","0","4"
"0164","4018","0","5"
"0164","2045","0","6"
"0164","1609","0","7"
"0164","1603","0","8"
"0164","1167","0","9"
"0164","1167","1","1"
"0164","1604","1","2"
"0164","1610","1","3"
"0164","2046","1","4"
"0164","4010","1","5"
"0164","4011","1","6"
"0164","4012","1","7"
"0164","4013","1","8"
"0164","4001","1","9"
"0200","4001","0","1"
"0200","2079","0","10"
"0200","2080","0","11"
"0200","2082","0","12"
"0200","2045","0","13"
"0200","1177","0","14"
"0200","1408","0","15"
"0200","1007","0","16"
"0200","4002","0","2"
"0200","4003","0","3"
"0200","4004","0","4"
"0200","4018","0","5"
"0200","4006","0","6"
"0200","4007","0","7"
"0200","3317","0","8"
"0200","2101","0","9"
"0200","1033","1","1"
"0200","4008","1","10"
"0200","4009","1","11"
"0200","4010","1","12"
"0200","4011","1","13"
"0200","4012","1","14"
"0200","4013","1","15"
"0200","4001","1","16"
"0200","1431","1","2"
"0200","1203","1","3"
"0200","2046","1","4"
"0200","2081","1","5"
"0200","2083","1","6"
"0200","2084","1","7"
"0200","3316","1","8"
"0200","3318","1","9"
